case,target_soc,actual_soc,variant,charge_scale,mode,species,n_molecules,frames,fit_start_ps,fit_end_ps,D_1e-9_m2_s,D_sem_1e-9_m2_s,n_blocks,note,source_file
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,long,I2Br-,3,4001,2510.0,8490.0,0.6445210072172947,0.1658038373263187,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_long.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,long,H2O,1112,4001,2510.0,8490.0,1.9873623612670133,0.0147096038777094,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_long.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,smoke,Zn2+,24,251,0.6400000017867785,2.1000000026638377,0.7465089602300713,0.0199739262630536,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_smoke.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,smoke,I-,40,251,0.6400000017867785,2.1000000026638377,1.5235639783828994,0.1188353722452097,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_smoke.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,smoke,Br-,92,251,0.6400000017867785,2.1000000026638377,1.2526157502984248,0.1001447242299988,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_smoke.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,smoke,NH4+,95,251,0.6400000017867785,2.1000000026638377,1.584583703173571,0.0935774828815966,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_smoke.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,smoke,I2,1,251,0.6400000017867785,2.1000000026638377,0.526696359339647,0.1273247682790096,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_smoke.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,smoke,I3-,8,251,0.6400000017867785,2.1000000026638377,1.2435290703659037,0.220125021238587,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_smoke.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,smoke,I2Br-,3,251,0.6400000017867785,2.1000000026638377,1.0796813386475832,0.1117404841821467,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_smoke.csv
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,smoke,H2O,1112,251,0.6400000017867785,2.1000000026638377,2.0990942307572764,0.0452261763314598,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc050_q0p8_ecc_smoke.csv
