R_theta_end,theta_end,effective_coefficient_V,effective_coefficient_mV_per_decade,fixed_selected_voltage_contribution_mV
0.46815,0.53185,0.0933012540234,214.834076672,70.8125282268
0.469615,0.530385,0.0936869369151,215.722144349,70.8125282268
0.47108,0.52892,0.0940746053855,216.61478399,70.8125282268
0.472545,0.527455,0.0944642767026,217.512035356,70.8125282268
0.47401,0.52599,0.0948559683209,218.413938637,70.8125282268
0.475475,0.524525,0.0952496978843,219.320534461,70.8125282268
0.47694,0.52306,0.0956454832285,220.231863894,70.8125282268
0.478405,0.521595,0.0960433423841,221.147968455,70.8125282268
0.47987,0.52013,0.0964432935793,222.068890115,70.8125282268
0.481335,0.518665,0.0968453552426,222.994671307,70.8125282268
0.4828,0.5172,0.0972495460057,223.925354933,70.8125282268
0.484265,0.515735,0.0976558847069,224.860984369,70.8125282268
0.48573,0.51427,0.0980643903934,225.801603473,70.8125282268
0.487195,0.512805,0.0984750823248,226.747256592,70.8125282268
0.48866,0.51134,0.0988879799763,227.69798857,70.8125282268
0.490125,0.509875,0.0993031030414,228.653844751,70.8125282268
0.49159,0.50841,0.0997204714354,229.614870993,70.8125282268
0.493055,0.506945,0.100140105299,230.581113672,70.8125282268
0.49452,0.50548,0.100562025,231.552619686,70.8125282268
0.495985,0.504015,0.10098625114,232.529436471,70.8125282268
0.49745,0.50255,0.101412804553,233.511612003,70.8125282268
0.498915,0.501085,0.101841706315,234.499194805,70.8125282268
0.50038,0.49962,0.102272977741,235.492233962,70.8125282268
0.501845,0.498155,0.102706640393,236.490779121,70.8125282268
0.50331,0.49669,0.103142716084,237.494880505,70.8125282268
0.504775,0.495225,0.103581226877,238.504588921,70.8125282268
0.50624,0.49376,0.104022195095,239.519955767,70.8125282268
0.507705,0.492295,0.104465643321,240.541033041,70.8125282268
0.50917,0.49083,0.104911594402,241.567873351,70.8125282268
0.510635,0.489365,0.105360071454,242.600529926,70.8125282268
0.5121,0.4879,0.105811097866,243.63905662,70.8125282268
0.513565,0.486435,0.106264697306,244.683507928,70.8125282268
0.51503,0.48497,0.106720893721,245.733938992,70.8125282268
0.516495,0.483505,0.107179711344,246.790405612,70.8125282268
0.51796,0.48204,0.107641174699,247.852964253,70.8125282268
0.519425,0.480575,0.108105308603,248.921672062,70.8125282268
0.52089,0.47911,0.108572138174,249.996586873,70.8125282268
0.522355,0.477645,0.109041688832,251.077767219,70.8125282268
0.52382,0.47618,0.109513986306,252.165272342,70.8125282268
0.525285,0.474715,0.109989056638,253.259162208,70.8125282268
0.52675,0.47325,0.11046692619,254.359497513,70.8125282268
0.528215,0.471785,0.110947621643,255.466339698,70.8125282268
0.52968,0.47032,0.111431170009,256.579750958,70.8125282268
0.531145,0.468855,0.111917598634,257.699794258,70.8125282268
0.53261,0.46739,0.1124069352,258.826533341,70.8125282268
0.534075,0.465925,0.112899207735,259.960032742,70.8125282268
0.53554,0.46446,0.113394444616,261.100357801,70.8125282268
0.537005,0.462995,0.113892674574,262.247574675,70.8125282268
0.53847,0.46153,0.114393926701,263.401750351,70.8125282268
0.539935,0.460065,0.114898230457,264.562952661,70.8125282268
0.5414,0.4586,0.115405615672,265.731250294,70.8125282268
0.542865,0.457135,0.115916112556,266.906712809,70.8125282268
0.54433,0.45567,0.116429751702,268.089410651,70.8125282268
0.545795,0.454205,0.116946564096,269.279415164,70.8125282268
0.54726,0.45274,0.117466581119,270.476798609,70.8125282268
0.548725,0.451275,0.117989834555,271.681634171,70.8125282268
0.55019,0.44981,0.118516356601,272.893995985,70.8125282268
0.551655,0.448345,0.119046179868,274.113959142,70.8125282268
0.55312,0.44688,0.119579337393,275.34159971,70.8125282268
0.554585,0.445415,0.120115862641,276.57699475,70.8125282268
0.55605,0.44395,0.120655789518,277.820222328,70.8125282268
0.557515,0.442485,0.121199152374,279.07136154,70.8125282268
0.55898,0.44102,0.12174598601,280.330492519,70.8125282268
