Q_mAh_cm2,voltage_V,S_direct_avg,eps_s_feedback_avg,eps_s_tcd_native_raw_avg,eps_s_ode_avg,N_i2_ode_avg,R_precip_fraction_per_s_avg,R_diss_fraction_per_s_avg,i0_i2s_phase_A_m2_avg,j_bare_geom_A_m2,j_i2s_geom_A_m2,j_positive_geom_A_m2,cI2_total_avg_mol_m3,cI2_tank_mol_m3
4.33333333333,1.40061736293,0.212981681347,3.01203625032e-18,-2.40918396344e-14,6.83991411781e-12,1,1.76983177784e-14,6.5002573716e-24,0,405.703719104,0,405.703719104,12.9842759486,12.5025758347
4.44444444444,1.40065924527,0.21368504737,3.11991114411e-18,-2.40918396344e-14,7.02187370661e-12,1,1.77141282118e-14,6.72635746429e-24,0,406.906000287,0,406.906000287,13.3039566422,12.8221409358
4.55555555556,1.40070112762,0.214389201606,3.15957103154e-18,-2.40918396344e-14,7.20383329541e-12,1,1.7729984709e-14,6.80591445899e-24,0,408.06973755,0,408.06973755,13.6236373358,13.141706037
4.66666666667,1.40074300996,0.21509414538,3.21985406042e-18,-2.40918396344e-14,7.3857928842e-12,1,1.77458874719e-14,6.92812390612e-24,0,409.183462216,0,409.183462216,13.9433180294,13.4612711381
4.77777777778,1.40078489231,0.215799880023,3.26744592533e-18,-2.40918396344e-14,7.567752473e-12,1,1.77618367034e-14,7.02304620947e-24,0,410.187128681,0,410.187128681,14.262998723,13.7808362393
4.88888888889,1.40082677465,0.216506406869,3.36262965515e-18,-2.40918396344e-14,7.74971206179e-12,1,1.77778326078e-14,7.22115355014e-24,0,411.067202779,0,411.067202779,14.5826794166,14.1004013405
5,1.400868657,0.217213727252,3.38906958011e-18,-2.40918396344e-14,7.93167165059e-12,1,1.77938753905e-14,7.27149596905e-24,0,411.801829198,0,411.801829198,14.9023601102,14.4199664416
5.11111111111,1.40091053934,0.217921842512,3.41022152007e-18,-2.40918396344e-14,8.11363123939e-12,1,1.78099652582e-14,7.31025384664e-24,0,412.395770457,0,412.395770457,15.2220408038,14.7395315428
5.22222222222,1.40095242169,0.218630753992,3.55511230879e-18,-2.40918396344e-14,8.29559082818e-12,1,1.78261024187e-14,7.61429072303e-24,0,412.877108932,0,412.877108932,15.5417214973,15.059096644
5.33333333333,1.40099430403,0.219340463036,3.64500805362e-18,-2.40918396344e-14,8.47755041698e-12,1,1.78422870811e-14,7.80005107786e-24,0,413.26371387,0,413.26371387,15.8614021909,15.3786617451
5.44444444444,1.40103618638,0.220050970992,3.75076775342e-18,-2.40918396344e-14,8.65951000577e-12,1,1.78585194557e-14,8.01948746431e-24,0,413.569441486,0,413.569441486,16.1810828845,15.6982268463
5.55555555556,1.40107806872,0.220762279212,3.81951155829e-18,-2.40918396344e-14,8.84146959457e-12,1,1.7874799754e-14,8.15912418436e-24,0,413.78201601,0,413.78201601,16.5007635781,16.0177919474
5.66666666667,1.40111995107,0.22147438905,3.84912427424e-18,-2.40918396344e-14,9.02342918337e-12,1,1.7891128189e-14,8.21506610761e-24,0,413.896935162,0,413.896935162,16.8204442717,16.3373570486
5.77777777778,1.40116183342,0.222187301864,3.99401506296e-18,-2.40918396344e-14,9.20538877216e-12,1,1.79075049745e-14,8.516665626e-24,0,413.926005526,0,413.926005526,17.1401249653,16.6569221498
5.88888888889,1.40120371576,0.222901019013,4.01516700292e-18,-2.40918396344e-14,9.38734836096e-12,1,1.79239303261e-14,8.55369382656e-24,0,413.865438196,0,413.865438196,17.4598056589,16.9764872509
6,1.40124559811,0.223615541861,4.05747088284e-18,-2.40918396344e-14,9.56930794976e-12,1,1.79404044602e-14,8.63605668246e-24,0,413.681438833,0,413.681438833,17.7794863525,17.2960523521
6.11111111111,1.40128748045,0.224330871774,4.05747088284e-18,-2.40918396344e-14,9.75126753855e-12,1,1.7956927595e-14,8.62813782641e-24,0,413.345889112,0,413.345889112,18.0991670461,17.6156174533
6.22222222222,1.4013293628,0.225047010123,4.22034082054e-18,-2.40918396344e-14,9.93322712735e-12,1,1.79734999495e-14,8.96574509567e-24,0,412.886125534,0,412.886125534,18.4188477397,17.9351825544
6.33333333333,1.40137124514,0.22576395828,4.28115264792e-18,-2.40918396344e-14,1.01151867161e-11,1,1.79901217443e-14,9.08676841735e-24,0,412.297033622,0,412.297033622,18.7385284333,18.2547476556
6.44444444444,1.40141312749,0.22648171762,4.32874451283e-18,-2.40918396344e-14,1.02971463049e-11,1,1.80067932013e-14,9.17928257053e-24,0,411.644936223,0,411.644936223,19.0582091269,18.5743127567
