Q,V_baseline_KC,V_network_cpath,dV_mV,K_perm_rel_KC,K_perm_rel_network,eps_s
88.333333,1.4316483,1.4316436,-0.0047000000000796405,0.99979747,0.99997824,1.2012586e-05
88.444444,1.4317566,1.4317517,-0.004899999999974369,0.99978928,0.99997724,1.2498706e-05
88.555556,1.4318663,1.4318611,-0.005199999999927485,0.99978091,0.99997621,1.299524e-05
88.666667,1.4319773,1.4319718,-0.005500000000102645,0.99977236,0.99997515,1.3502186e-05
88.777778,1.4320887,1.4320831,-0.005599999999938987,0.99976364,0.99997407,1.4019651e-05
88.888889,1.4322005,1.4321949,-0.005599999999938987,0.99975474,0.99997295,1.4547626e-05
89.0,1.4323131,1.4323076,-0.005500000000102645,0.99974566,0.99997181,1.5086076e-05
89.111111,1.4324265,1.4324212,-0.005299999999985872,0.99973641,0.99997063,1.5635003e-05
89.222222,1.4325414,1.4325363,-0.005100000000091143,0.99972698,0.99996943,1.6194541e-05
89.333333,1.432658,1.4326531,-0.004899999999974369,0.99971737,0.9999682,1.6764697e-05
89.444444,1.4327759,1.4327712,-0.0047000000000796405,0.99970758,0.99996694,1.7345415e-05
89.555556,1.4328951,1.4328905,-0.004600000000021254,0.99969762,0.99996565,1.7936697e-05
89.666667,1.4330169,1.4330126,-0.004299999999846094,0.99968747,0.99996433,1.8538699e-05
89.777778,1.4331416,1.4331376,-0.003999999999892978,0.99967714,0.99996298,1.9151448e-05
89.888889,1.4332685,1.4332647,-0.0037999999999982492,0.99966663,0.9999616,1.9774869e-05
90.0,1.4333976,1.4333941,-0.0035000000000451337,0.99965595,0.99996018,2.0408962e-05
90.111111,1.4335286,1.433525,-0.0036000000001035204,0.99964508,0.99995874,2.1053851e-05
90.222222,1.4336612,1.4336574,-0.0037999999999982492,0.99963403,0.99995727,2.1709578e-05
90.333333,1.4337957,1.4337915,-0.004199999999787707,0.99962279,0.99995576,2.2376071e-05
90.444444,1.4339321,1.4339273,-0.004800000000138027,0.99961138,0.99995422,2.3053329e-05
90.555556,1.4340695,1.4340643,-0.0052000000001495295,0.99959978,0.99995265,2.3741439e-05
90.666667,1.4342072,1.4342022,-0.004999999999810711,0.999588,0.99995105,2.4440445e-05
90.777778,1.4343461,1.4343414,-0.004699999999857596,0.99957604,0.99994942,2.5150287e-05
90.888889,1.434486,1.4344818,-0.0042000000000097515,0.99956389,0.99994775,2.5870965e-05
91.0,1.4346278,1.4346238,-0.003999999999892978,0.99955157,0.99994606,2.6602592e-05
91.111111,1.4347719,1.4347673,-0.004600000000021254,0.99953905,0.99994433,2.7345246e-05
91.222222,1.4349178,1.4349123,-0.005500000000102645,0.99952635,0.99994256,2.8098838e-05
91.333333,1.4350654,1.4350587,-0.006700000000137152,0.99951347,0.99994076,2.8863367e-05
91.444444,1.4352152,1.4352078,-0.00740000000010177,0.9995004,0.99993893,2.9638946e-05
91.555556,1.4353675,1.4353603,-0.007199999999984996,0.99948714,0.99993707,3.0425682e-05
91.666667,1.4355219,1.4355154,-0.006499999999798334,0.9994737,0.99993517,3.1223468e-05
91.777778,1.4356785,1.4356731,-0.005400000000044258,0.99946007,0.99993324,3.2032302e-05
91.888889,1.435837,1.4358324,-0.004600000000021254,0.99944625,0.99993127,3.2852274e-05
92.0,1.4359971,1.4359926,-0.004499999999962867,0.99943225,0.99992927,3.3683493e-05
92.111111,1.4361591,1.4361545,-0.004600000000021254,0.99941806,0.99992723,3.4525859e-05
92.222222,1.4363231,1.4363181,-0.005000000000032756,0.99940368,0.99992516,3.5379372e-05
92.333333,1.4364889,1.4364832,-0.005699999999997374,0.99938911,0.99992305,3.6244113e-05
92.444444,1.4366567,1.4366494,-0.007299999999821338,0.99937435,0.99992091,3.7120213e-05
92.555556,1.4368264,1.4368169,-0.009499999999995623,0.9993594,0.99991873,3.8007563e-05
92.666667,1.4369981,1.4369858,-0.012300000000076139,0.99934426,0.99991652,3.8906161e-05
92.777778,1.4371714,1.4371566,-0.014799999999981495,0.99932893,0.99991427,3.9816079e-05
92.888889,1.4373459,1.43733,-0.015899999999957615,0.99931341,0.99991198,4.0737466e-05
93.0,1.4375219,1.4375053,-0.016599999999922233,0.99929769,0.99990966,4.1670204e-05
93.111111,1.4376995,1.4376825,-0.016999999999933735,0.99928179,0.9999073,4.2614294e-05
93.222222,1.4378788,1.437862,-0.016800000000039006,0.99926569,0.99990491,4.3569799e-05
93.333333,1.43806,1.4380441,-0.015899999999957615,0.9992494,0.99990247,4.4536894e-05
93.444444,1.438243,1.4382285,-0.014500000000028379,0.99923292,0.9999,4.5515448e-05
93.555556,1.4384278,1.4384152,-0.012600000000029254,0.99921624,0.9998975,4.6505461e-05
93.666667,1.4386149,1.4386045,-0.01039999999985497,0.99919937,0.99989495,4.7507006e-05
93.777778,1.438807,1.4387971,-0.009900000000007125,0.9991823,0.99989237,4.8520334e-05
93.888889,1.4390021,1.4389925,-0.00960000000005401,0.99916504,0.99988974,4.9545265e-05
94.0,1.4392004,1.4391907,-0.009700000000112396,0.99914758,0.99988708,5.05818e-05
94.111111,1.4394014,1.4393915,-0.009900000000007125,0.99912993,0.99988438,5.1629983e-05
94.222222,1.4396037,1.4395947,-0.008999999999925734,0.99911208,0.99988164,5.2690031e-05
94.333333,1.4398082,1.4398005,-0.007700000000054885,0.99909403,0.99987887,5.3761795e-05
94.444444,1.4400149,1.4400088,-0.006100000000008876,0.99907578,0.99987605,5.4845276e-05
94.555556,1.4402239,1.4402195,-0.00439999999990448,0.99905733,0.99987319,5.5940508e-05
94.666667,1.4404342,1.4404319,-0.002300000000010627,0.99903869,0.9998703,5.704772e-05
94.777778,1.4406464,1.4406464,0.0,0.99901984,0.99986736,5.816676e-05
94.888889,1.4408605,1.440863,0.0024999999999053557,0.9990008,0.99986438,5.9297628e-05
95.0,1.4410765,1.4410816,0.005099999999869098,0.99898156,0.99986137,6.0440352e-05
95.111111,1.4412946,1.4413008,0.006200000000067263,0.99896211,0.99985831,6.1595215e-05
95.222222,1.4415146,1.4415214,0.006799999999973494,0.99894246,0.99985521,6.2762035e-05
95.333333,1.4417366,1.4417435,0.006900000000031881,0.99892262,0.99985207,6.3940812e-05
95.444444,1.4419607,1.4419673,0.0065999999998567205,0.99890257,0.99984889,6.5131566e-05
95.555556,1.44219,1.4421944,0.00439999999990448,0.99888231,0.99984567,6.6334682e-05
95.666667,1.4424225,1.4424236,0.00109999999997612,0.99886185,0.9998424,6.7549921e-05
95.777778,1.4426583,1.4426551,-0.0031999999998699735,0.99884119,0.9998391,6.8777282e-05
95.888889,1.4428974,1.442889,-0.008400000000019503,0.99882032,0.99983575,7.0016769e-05
96.0,1.4431389,1.4431271,-0.011799999999784205,0.99879924,0.99983235,7.1268745e-05
96.111111,1.4433834,1.4433683,-0.015100000000156655,0.99877796,0.99982892,7.253299e-05
96.222222,1.4436308,1.4436126,-0.01819999999996824,0.99875647,0.99982544,7.3809504e-05
96.333333,1.4438812,1.44386,-0.02120000000016553,0.99873478,0.99982192,7.5098286e-05
96.444444,1.4441322,1.4441121,-0.02010000000018941,0.99871287,0.99981836,7.6399638e-05
96.555556,1.4443851,1.4443681,-0.01700000000015578,0.99869076,0.99981475,7.771339e-05
96.666667,1.44464,1.4446277,-0.012299999999854094,0.99866844,0.9998111,7.9039533e-05
96.777778,1.4448969,1.4448911,-0.0058000000000557606,0.99864591,0.9998074,8.037807e-05
96.888889,1.4451575,1.4451552,-0.002300000000010627,0.99862317,0.99980366,8.1729395e-05
97.0,1.4454211,1.4454218,0.0007000000001866624,0.99860021,0.99979987,8.3093309e-05
97.111111,1.4456874,1.4456909,0.0035000000000451337,0.99857705,0.99979604,8.4469786e-05
97.222222,1.4459564,1.4459625,0.006100000000008876,0.99855367,0.99979216,8.5858828e-05
97.333333,1.4462306,1.4462366,0.005999999999950489,0.99853008,0.99978824,8.7260874e-05
97.444444,1.446509,1.4465132,0.0042000000000097515,0.99850627,0.99978427,8.867573e-05
97.555556,1.4467913,1.4467924,0.0011000000001981647,0.99848224,0.99978025,9.0103351e-05
97.666667,1.4470775,1.447074,-0.0035000000000451337,0.99845801,0.99977619,9.1543737e-05
97.777778,1.4473671,1.4473602,-0.006899999999809836,0.99843355,0.99977208,9.2997272e-05
97.888889,1.4476603,1.4476495,-0.010799999999866472,0.99840887,0.99976793,9.4463816e-05
98.0,1.4479573,1.4479418,-0.015499999999946112,0.99838398,0.99976372,9.5943312e-05
98.111111,1.4482579,1.448237,-0.02089999999999037,0.99835887,0.99975947,9.743576e-05
98.222222,1.4485604,1.4485353,-0.025100000000000122,0.99833354,0.99975517,9.8941482e-05
98.333333,1.4488653,1.4488366,-0.028700000000103643,0.99830799,0.99975083,0.00010046039
98.444444,1.4491731,1.4491409,-0.032200000000148776,0.99828221,0.99974644,0.00010199241
98.555556,1.4494836,1.4494497,-0.03390000000003113,0.99825622,0.99974199,0.00010353755
98.666667,1.4497967,1.4497629,-0.03379999999997274,0.99823,0.9997375,0.00010509616
98.777778,1.4501127,1.4500797,-0.032999999999949736,0.99820356,0.99973296,0.00010666817
98.888889,1.4504313,1.4504002,-0.03109999999995061,0.9981769,0.99972837,0.00010825348
99.0,1.4507527,1.4507243,-0.028399999999928482,0.99815001,0.99972373,0.00010985211
99.111111,1.451078,1.451052,-0.026000000000081513,0.99812289,0.99971904,0.00011146441
99.222222,1.4514071,1.4513833,-0.02379999999990723,0.99809554,0.9997143,0.00011309037
99.333333,1.4517396,1.4517193,-0.02030000000008414,0.99806797,0.9997095,0.00011472986
99.444444,1.4520756,1.4520615,-0.014100000000016877,0.99804017,0.99970466,0.00011638287
99.555556,1.4524175,1.4524081,-0.009399999999937236,0.99801214,0.99969976,0.00011805021
99.666667,1.4527654,1.4527592,-0.006200000000067263,0.99798386,0.99969481,0.00011973189
99.777778,1.4531183,1.4531146,-0.003700000000161907,0.99795534,0.99968981,0.00012142759
99.888889,1.4534763,1.4534745,-0.001799999999940738,0.9979266,0.99968476,0.00012313733
100.0,1.4538392,1.4538388,-0.00040000000001150227,0.99789761,0.99967966,0.0001248611
100.11111,1.4542072,1.4542074,0.00020000000011677344,0.9978684,0.9996745,0.0001265989
100.22222,1.4545803,1.4545793,-0.0009999999999177334,0.99783895,0.99966929,0.00012835074
100.33333,1.4549583,1.4549553,-0.0029999999999752447,0.99780926,0.99966402,0.0001301166
100.44444,1.4553392,1.4553355,-0.003700000000161907,0.99777932,0.9996587,0.0001318973
100.55556,1.4557228,1.4557198,-0.0029999999999752447,0.99774914,0.99965332,0.00013369284
100.66667,1.4561106,1.4561082,-0.002399999999846969,0.99771872,0.99964789,0.00013550274
100.77778,1.4565026,1.4565008,-0.0018000000001627825,0.99768806,0.99964241,0.00013732698
100.88889,1.4568987,1.4568975,-0.0012000000000345068,0.99765716,0.99963687,0.00013916556
101.0,1.457299,1.4572985,-0.0004999999998478444,0.99762601,0.99963127,0.0001410185
101.11111,1.4577034,1.4577038,0.00040000000001150227,0.99759463,0.99962561,0.00014288578
101.22222,1.4581125,1.4581132,0.0007000000001866624,0.997563,0.9996199,0.00014476809
101.33333,1.4585273,1.4585269,-0.00040000000001150227,0.9975311,0.99961413,0.00014666665
101.44444,1.4589468,1.4589447,-0.002100000000115898,0.99749894,0.9996083,0.00014858015
101.55556,1.4593708,1.4593667,-0.004100000000173409,0.99746654,0.99960242,0.00015050857
101.66667,1.4597995,1.459793,-0.006500000000020378,0.99743389,0.99959648,0.00015245193
101.77778,1.4602328,1.4602241,-0.008699999999972619,0.99740099,0.99959048,0.00015441021
101.88889,1.4606707,1.4606603,-0.010400000000077014,0.99736783,0.99958441,0.00015638343
102.0,1.4611133,1.4611011,-0.012200000000017752,0.99733443,0.99957829,0.00015837164
102.11111,1.4615655,1.4615463,-0.01920000000010802,0.99730074,0.9995721,0.00016037768
102.22222,1.4620235,1.4619962,-0.027299999999952362,0.99726678,0.99956586,0.00016239936
102.33333,1.4624873,1.4624505,-0.036799999999947985,0.99723256,0.99955955,0.00016443668
102.44444,1.4629569,1.4629094,-0.047499999999978115,0.99719807,0.99955319,0.00016648963
102.55556,1.4634324,1.4633751,-0.0573000000001489,0.99716333,0.99954676,0.00016855823
102.66667,1.4639137,1.463853,-0.0606999999999136,0.99712833,0.99954026,0.00017064247
102.77778,1.4644008,1.4643378,-0.06299999999992423,0.99709307,0.99953369,0.00017274236
102.88889,1.4648943,1.4648293,-0.06500000000020378,0.9970575,0.99952706,0.00017486031
103.0,1.465394,1.4653277,-0.06630000000007463,0.99702165,0.99952036,0.00017699542
103.11111,1.4658998,1.4658328,-0.06700000000003925,0.99698552,0.9995136,0.00017914698
103.22222,1.4664115,1.4663448,-0.06670000000008613,0.99694912,0.99950677,0.00018131499
103.33333,1.4669293,1.4668636,-0.0657000000001684,0.99691245,0.99949988,0.00018349945
