m_exp,v_ratio,flow_mL_min,delta_ratio,delta_um,Q_onset,dQ
0.6,0.882051282051282,44.1025641025641,1.0782108521535114,26.955271303837787,81.50201465967874,-1.5181848121655577
0.6,0.9794871794871796,48.97435897435898,1.0125133228782626,25.312833071956568,82.77857842656091,-0.2416210452833809
0.6,1.0769230769230769,53.84615384615385,0.9565092846084409,23.91273211521102,83.86775894716916,0.8475594753248714
0.6,1.1743589743589744,58.71794871794872,0.9080703122372078,22.701757805930196,84.81071750674506,1.7905180349007708
0.6,1.2717948717948717,63.589743589743584,0.8656647997951091,21.64161999487773,85.63704844333742,2.616848971493127
0.6,1.3692307692307693,68.46153846153847,0.8281595417359763,20.703988543399408,86.368420594794,3.3482211229497096
0.6,1.4666666666666666,73.33333333333333,0.7946962193686484,19.867405484216214,87.02138008448628,4.001180612641988
0.6,1.564102564102564,78.2051282051282,0.7646115661103456,19.115289152758642,87.60891357702332,4.588714105179022
0.6,1.6615384615384614,83.07692307692307,0.7373840862279807,18.43460215569952,88.14095264385541,5.120753172011121
0.6,1.758974358974359,87.94871794871794,0.7125975006661214,17.814937516653035,88.62551157176752,5.605312099923225
0.6,1.8564102564102565,92.82051282051282,0.6899150589378744,17.247876473446862,89.06932455889051,6.049125087046221
0.6,1.9538461538461538,97.6923076923077,0.6690611018350348,16.726527545875868,89.47745797292943,6.4572585010851355
0.6,2.0512820512820515,102.56410256410258,0.6498075784150552,16.24518946037638,89.85432386005202,6.8341243882077265
0.6,2.1487179487179486,107.43589743589743,0.6319640200130106,15.799100500325265,90.20375867192598,7.183559200081689
0.6,2.246153846153846,112.3076923076923,0.6153699722936538,15.384249307341346,90.52889260206807,7.508693130223776
0.6,2.3435897435897437,117.17948717948718,0.5998892048515265,14.997230121288164,90.83239877191778,7.8121993000734875
0.6,2.4410256410256412,122.05128205128206,0.5854052260786493,14.635130651966234,91.11645595251132,8.096256480667023
0.6,2.5384615384615388,126.92307692307693,0.5718177699280045,14.295444248200113,91.38288387254704,8.362684400702747
0.6,2.6358974358974363,131.79487179487182,0.5590400155981075,13.976000389952688,91.63352937764226,8.613329905797968
0.6,2.7333333333333334,136.66666666666666,0.5469963663998655,13.674909159996638,91.86984914397645,8.84964967213216
0.6,2.830769230769231,141.53846153846155,0.5356206598493253,13.390516496233133,92.0931710886046,9.072971616760313
0.6,2.9282051282051285,146.4102564102564,0.5248547136176498,13.121367840441247,92.30459954134207,9.284400069497778
0.6,3.025641025641026,151.2820512820513,0.5146471354701674,12.866178386754186,92.5050899113142,9.484890439469908
0.6,3.123076923076923,156.15384615384616,0.5049523424795322,12.623808561988307,92.69555226193283,9.675352790088539
0.6,3.2205128205128206,161.02564102564102,0.4957297474594051,12.39324368648513,92.87675013116065,9.856550659316355
0.6,3.317948717948718,165.8974358974359,0.48694308000887343,12.173577000221837,93.04936022926249,10.029160757418197
0.6,3.4153846153846157,170.76923076923077,0.4785598166706448,11.963995416766119,93.2140931369321,10.193893665087813
0.6,3.512820512820513,175.64102564102566,0.47055070011222183,11.763767502805546,93.3714950895576,10.351295617713305
0.6,3.6102564102564103,180.51282051282053,0.46288933138350374,11.572233284587595,93.5221106780793,10.501911206235008
0.6,3.707692307692308,185.3846153846154,0.4555518225067043,11.388795562667609,93.66640636989197,10.64620689804768
0.6,3.8051282051282054,190.25641025641028,0.448516499147889,11.212912478697225,93.8047498108136,10.78455033896931
0.6,3.902564102564103,195.12820512820514,0.4417636450746609,11.044091126866523,93.93757363361914,10.917374161774845
0.6,4.0,200.0,0.43527528164806206,10.881882041201552,94.06522488020742,11.04502540836313
