"case_id","q_mAh_cm2","S_avg","cI2_surf_tot_avg","beta_surf_avg"
"baseline_J40_Q120","3.55555555556","0.208075275235","114.373083572","1239.95413949"
"baseline_J40_Q120","3.66666666667","0.208775017948","114.693610981","1239.26180028"
"baseline_J40_Q120","3.77777777778","0.209475544368","115.014138391","1238.56946107"
"baseline_J40_Q120","3.88888888889","0.210176072932","115.33431095","1237.87788835"
"baseline_J40_Q120","4.0","0.21087629932","115.653991644","1237.18737805"
"baseline_J40_Q120","4.11111111111","0.211577308641","115.973672337","1236.49686775"
"baseline_J40_Q120","4.22222222222","0.212279102211","116.293353031","1235.80635745"
"baseline_J40_Q120","4.33333333333","0.212981681347","116.613033724","1235.11584716"
"baseline_J40_Q120","4.44444444444","0.21368504737","116.932714418","1234.42533686"
"baseline_J40_Q120","4.55555555556","0.214389201606","117.252395111","1233.73482656"
"baseline_J40_Q120","4.66666666667","0.21509414538","117.572075805","1233.04431626"
"baseline_J40_Q120","4.77777777778","0.215799880023","117.891756499","1232.35380596"
"baseline_J40_Q120","4.88888888889","0.216506406869","118.211437192","1231.66329566"
"baseline_J40_Q120","5.0","0.217213727252","118.531117886","1230.97278537"
"baseline_J40_Q120","5.11111111111","0.217921842512","118.850798579","1230.28227507"
"baseline_J40_Q120","5.22222222222","0.218630753992","119.170479273","1229.59176477"
"baseline_J40_Q120","5.33333333333","0.219340463036","119.490159967","1228.90125447"
"baseline_J40_Q120","5.44444444444","0.220050970992","119.80984066","1228.21074417"
"baseline_J40_Q120","5.55555555556","0.220762279212","120.129521354","1227.52023388"
"baseline_J40_Q120","5.66666666667","0.22147438905","120.449202047","1226.82972358"
"baseline_J40_Q120","5.77777777778","0.222187301864","120.768882741","1226.13921328"
"baseline_J40_Q120","5.88888888889","0.222901019013","121.088563435","1225.44870298"
"baseline_J40_Q120","6.0","0.223615541861","121.408244128","1224.75819268"
"baseline_J40_Q120","6.11111111111","0.224330871774","121.727924822","1224.06768238"
"baseline_J40_Q120","6.22222222222","0.225047010123","122.047605515","1223.37717209"
"baseline_J40_Q120","6.33333333333","0.22576395828","122.367286209","1222.68666179"
"baseline_J40_Q120","6.44444444444","0.22648171762","122.686966903","1221.99615149"
"baseline_J40_Q120","6.55555555556","0.227200289524","123.006647596","1221.30564119"
"baseline_J40_Q120","6.66666666667","0.227919675372","123.32632829","1220.61513089"
"baseline_J40_Q120","6.77777777778","0.228639876551","123.646008983","1219.9246206"
"baseline_J40_Q120","6.88888888889","0.229360894448","123.965689677","1219.2341103"
"baseline_J40_Q120","7.0","0.230082730455","124.28537037","1218.5436"
"baseline_J40_Q120","7.11111111111","0.230805385968","124.605051064","1217.8530897"
"baseline_J40_Q120","7.22222222222","0.231528862383","124.924731758","1217.1625794"
"baseline_J40_Q120","7.33333333333","0.232253161102","125.244412451","1216.47206911"
"baseline_J40_Q120","7.44444444444","0.232978283529","125.564093145","1215.78155881"
"baseline_J40_Q120","7.55555555556","0.233704231071","125.883773838","1215.09104851"
"baseline_J40_Q120","7.66666666667","0.23443100514","126.203454532","1214.40053821"
"baseline_J40_Q120","7.77777777778","0.235154695727","126.521455567","1213.71365597"
"baseline_J40_Q120","7.88888888889","0.235878567422","126.839182675","1213.02736542"
"baseline_J40_Q120","8.0","0.236603258728","127.156909783","1212.34107487"
"baseline_J40_Q120","8.11111111111","0.237328771038","127.474636892","1211.65478431"
"baseline_J40_Q120","8.22222222222","0.238055105749","127.792364","1210.96849376"
"baseline_J40_Q120","8.33333333333","0.23878226426","128.110091108","1210.28220321"
"baseline_J40_Q120","8.44444444444","0.239510247974","128.427818216","1209.59591265"
"baseline_J40_Q120","8.55555555556","0.240239058295","128.745545324","1208.9096221"
"baseline_J40_Q120","8.66666666667","0.240968696633","129.063272432","1208.22333155"
"baseline_J40_Q120","8.77777777778","0.241699164399","129.38099954","1207.53704099"
"baseline_J40_Q120","8.88888888889","0.24243046301","129.698726648","1206.85075044"
"baseline_J40_Q120","9.0","0.243162593882","130.016453756","1206.16445989"
"baseline_J40_Q120","9.11111111111","0.243895558438","130.334180865","1205.47816933"
