Q_mAh_cm2,V_baseline_KC_V,V_network_smooth_path_V,DeltaV_network_minus_KC_mV,K_over_K0_baseline_KC,K_over_K0_network_smooth_path,eps_s_baseline_KC,eps_s_network_smooth_path,evidence_class
23.777778,1.4124738,1.4124739,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
23.888889,1.4125331,1.4125332,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
24,1.4125925,1.4125926,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
24.111111,1.4126519,1.412652,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
24.222222,1.4127112,1.4127113,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
24.333333,1.4127706,1.4127707,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
24.444444,1.41283,1.4128301,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
24.555556,1.4128893,1.4128894,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
24.666667,1.4129487,1.4129488,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
24.777778,1.4130081,1.4130081,0,1,1,5.0405073e-18,8.5887452e-18,E-SIM
24.888889,1.4130674,1.4130675,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
25,1.4131268,1.4131269,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
25.111111,1.4131861,1.4131862,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
25.222222,1.4132455,1.4132456,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
25.333333,1.4133049,1.413305,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
25.444444,1.4133642,1.4133643,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
25.555556,1.4134236,1.4134237,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
25.666667,1.413483,1.413483,0,1,1,5.0405073e-18,8.5887452e-18,E-SIM
25.777778,1.4135423,1.4135424,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
25.888889,1.4136017,1.4136018,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
26,1.4136611,1.4136611,0,1,1,5.0405073e-18,8.5887452e-18,E-SIM
26.111111,1.4137204,1.4137205,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
26.222222,1.4137798,1.4137799,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
26.333333,1.4138391,1.4138392,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
26.444444,1.4138985,1.4138986,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
26.555556,1.4139579,1.4139579,0,1,1,5.0405073e-18,8.5887452e-18,E-SIM
26.666667,1.4140172,1.4140173,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
26.777778,1.4140766,1.4140767,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
26.888889,1.414136,1.414136,0,1,1,5.0405073e-18,8.5887452e-18,E-SIM
27,1.4141953,1.4141954,0.000100000000058,1,1,5.0405073e-18,8.5887452e-18,E-SIM
27.111111,1.4142547,1.4142548,9.99999998363e-05,1,1,5.0405073e-18,8.5887452e-18,E-SIM
27.222222,1.4143141,1.4143141,0,1,1,5.0405073e-18,8.5675933e-18,E-SIM
27.333333,1.4143734,1.4143735,0.000100000000058,1,1,5.0405073e-18,8.5675933e-18,E-SIM
27.444444,1.4144173,1.4144174,0.000100000000058,1,1,5.0405073e-18,8.5675933e-18,E-SIM
27.555556,1.4144558,1.4144559,0.000100000000058,1,1,5.0405073e-18,8.5675933e-18,E-SIM
27.666667,1.4144943,1.4144943,0,1,1,5.0405073e-18,8.5675933e-18,E-SIM
27.777778,1.4145328,1.4145328,0,1,1,5.0405073e-18,8.5675933e-18,E-SIM
27.888889,1.4145712,1.4145713,0.000100000000058,1,1,5.0405073e-18,8.5675933e-18,E-SIM
28,1.4146097,1.4146098,0.000100000000058,1,1,5.0405073e-18,8.5675933e-18,E-SIM
28.111111,1.4146482,1.4146483,0.000100000000058,1,1,5.0405073e-18,8.5675933e-18,E-SIM
28.222222,1.4146867,1.4146867,0,1,1,5.0405073e-18,8.5675933e-18,E-SIM
28.333333,1.4147252,1.4147252,0,1,1,5.0828112e-18,8.5675933e-18,E-SIM
28.444444,1.4147636,1.4147637,0.000100000000058,1,1,5.0828112e-18,8.5675933e-18,E-SIM
28.555556,1.4148021,1.4148022,0.000100000000058,1,1,5.0828112e-18,8.5675933e-18,E-SIM
28.666667,1.4148406,1.4148407,0.000100000000058,1,1,5.0828112e-18,8.5675933e-18,E-SIM
