sign,ix,iy,iz,delta_rho_e_A-3,x_display_A,y_display_A,z_display_A,periodic_xy_translation_only
accumulation,32,40,59,0.0035200654529,7.87043886933,10.65,15.7333333333,True
accumulation,32,40,60,0.0031737096142,7.87043886933,10.65,16,True
accumulation,32,40,61,0.00237181945704,7.87043886933,10.65,16.2666666667,True
accumulation,32,41,57,0.00226809899323,7.87043886933,10.91625,15.2,True
accumulation,32,41,58,0.0028962274082,7.87043886933,10.91625,15.4666666667,True
accumulation,32,41,59,0.0031288373284,7.87043886933,10.91625,15.7333333333,True
accumulation,32,41,60,0.00278127170168,7.87043886933,10.91625,16,True
accumulation,32,41,61,0.00205547478981,7.87043886933,10.91625,16.2666666667,True
accumulation,32,42,58,0.00220319605432,7.87043886933,11.1825,15.4666666667,True
accumulation,32,42,59,0.00230239797384,7.87043886933,11.1825,15.7333333333,True
accumulation,32,42,60,0.00200947001576,7.87043886933,11.1825,16,True
accumulation,32,49,49,0.00201555597596,7.87043886933,13.04625,13.0666666667,True
accumulation,32,49,52,0.0022831899114,7.87043886933,13.04625,13.8666666667,True
accumulation,32,50,48,0.00235644448549,7.87043886933,13.3125,12.8,True
accumulation,32,50,49,0.00425200723112,7.87043886933,13.3125,13.0666666667,True
accumulation,32,50,50,0.00608338695019,7.87043886933,13.3125,13.3333333333,True
accumulation,32,50,51,0.0136079434305,7.87043886933,13.3125,13.6,True
accumulation,32,50,52,0.00726237893105,7.87043886933,13.3125,13.8666666667,True
accumulation,33,37,58,0.0021088316571,8.116390084,9.85125,15.4666666667,True
accumulation,33,37,59,0.00228934595361,8.116390084,9.85125,15.7333333333,True
accumulation,33,37,60,0.00210186420009,8.116390084,9.85125,16,True
accumulation,33,38,57,0.00250163860619,8.116390084,10.1175,15.2,True
accumulation,33,38,58,0.0032702346798,8.116390084,10.1175,15.4666666667,True
accumulation,33,38,59,0.00360863818787,8.116390084,10.1175,15.7333333333,True
accumulation,33,38,60,0.00327373575419,8.116390084,10.1175,16,True
accumulation,33,38,61,0.00245957123116,8.116390084,10.1175,16.2666666667,True
accumulation,33,39,56,0.00209934008308,8.116390084,10.38375,14.9333333333,True
accumulation,33,39,57,0.00321776140481,8.116390084,10.38375,15.2,True
accumulation,33,39,58,0.00434229709208,8.116390084,10.38375,15.4666666667,True
accumulation,33,39,59,0.00485033728182,8.116390084,10.38375,15.7333333333,True
accumulation,33,39,60,0.0043424256146,8.116390084,10.38375,16,True
accumulation,33,39,61,0.00313521153294,8.116390084,10.38375,16.2666666667,True
accumulation,33,40,56,0.00218535400927,8.116390084,10.65,14.9333333333,True
accumulation,33,40,57,0.00338921509683,8.116390084,10.65,15.2,True
accumulation,33,40,58,0.00462734187022,8.116390084,10.65,15.4666666667,True
accumulation,33,40,59,0.00517099676654,8.116390084,10.65,15.7333333333,True
accumulation,33,40,60,0.00455574598163,8.116390084,10.65,16,True
accumulation,33,40,61,0.00317495688796,8.116390084,10.65,16.2666666667,True
accumulation,33,41,57,0.00283256499097,8.116390084,10.91625,15.2,True
accumulation,33,41,58,0.00378963514231,8.116390084,10.91625,15.4666666667,True
accumulation,33,41,59,0.0041498853825,8.116390084,10.91625,15.7333333333,True
accumulation,33,41,60,0.00356035400182,8.116390084,10.91625,16,True
accumulation,33,41,61,0.00239461753517,8.116390084,10.91625,16.2666666667,True
accumulation,33,42,58,0.00242015696131,8.116390084,11.1825,15.4666666667,True
accumulation,33,42,59,0.00250168493949,8.116390084,11.1825,15.7333333333,True
accumulation,33,42,60,0.00203464669175,8.116390084,11.1825,16,True
accumulation,33,49,51,0.00236831302755,8.116390084,13.04625,13.6,True
accumulation,33,50,51,0.00575427385047,8.116390084,13.3125,13.6,True
accumulation,33,50,52,0.00409791991115,8.116390084,13.3125,13.8666666667,True
accumulation,34,37,57,0.00202628807165,8.36234129867,9.85125,15.2,True
accumulation,34,37,58,0.00258798873983,8.36234129867,9.85125,15.4666666667,True
accumulation,34,37,59,0.00281310733408,8.36234129867,9.85125,15.7333333333,True
accumulation,34,37,60,0.00253987102769,8.36234129867,9.85125,16,True
accumulation,34,38,57,0.00302533176728,8.36234129867,10.1175,15.2,True
accumulation,34,38,58,0.00406752247363,8.36234129867,10.1175,15.4666666667,True
accumulation,34,38,59,0.00452730432153,8.36234129867,10.1175,15.7333333333,True
accumulation,34,38,60,0.00402375403792,8.36234129867,10.1175,16,True
accumulation,34,38,61,0.00287289917469,8.36234129867,10.1175,16.2666666667,True
accumulation,34,39,56,0.00236712489277,8.36234129867,10.38375,14.9333333333,True
accumulation,34,39,57,0.00378647819161,8.36234129867,10.38375,15.2,True
accumulation,34,39,58,0.00530472490937,8.36234129867,10.38375,15.4666666667,True
accumulation,34,39,59,0.0059770103544,8.36234129867,10.38375,15.7333333333,True
accumulation,34,39,60,0.0052404734306,8.36234129867,10.38375,16,True
accumulation,34,39,61,0.00354959303513,8.36234129867,10.38375,16.2666666667,True
accumulation,34,40,56,0.00224491604604,8.36234129867,10.65,14.9333333333,True
accumulation,34,40,57,0.00364341516979,8.36234129867,10.65,15.2,True
accumulation,34,40,58,0.00513499602675,8.36234129867,10.65,15.4666666667,True
accumulation,34,40,59,0.00570580316707,8.36234129867,10.65,15.7333333333,True
accumulation,34,40,60,0.0049288594164,8.36234129867,10.65,16,True
accumulation,34,40,61,0.00318836746737,8.36234129867,10.65,16.2666666667,True
accumulation,34,41,57,0.00248516607098,8.36234129867,10.91625,15.2,True
accumulation,34,41,58,0.00343280192465,8.36234129867,10.91625,15.4666666667,True
accumulation,34,41,59,0.00370206544176,8.36234129867,10.91625,15.7333333333,True
accumulation,34,41,60,0.00303160608746,8.36234129867,10.91625,16,True
accumulation,35,37,57,0.00200993078761,8.60829251333,9.85125,15.2,True
accumulation,35,37,58,0.002543552313,8.60829251333,9.85125,15.4666666667,True
accumulation,35,37,59,0.00272813416086,8.60829251333,9.85125,15.7333333333,True
accumulation,35,37,60,0.00239788158797,8.60829251333,9.85125,16,True
accumulation,35,38,57,0.00284032360651,8.60829251333,10.1175,15.2,True
accumulation,35,38,58,0.00383166759275,8.60829251333,10.1175,15.4666666667,True
accumulation,35,38,59,0.00422498770058,8.60829251333,10.1175,15.7333333333,True
accumulation,35,38,60,0.00363278179429,8.60829251333,10.1175,16,True
accumulation,35,38,61,0.00242523499765,8.60829251333,10.1175,16.2666666667,True
accumulation,35,39,57,0.00318727688864,8.60829251333,10.38375,15.2,True
accumulation,35,39,58,0.00446628406644,8.60829251333,10.38375,15.4666666667,True
accumulation,35,39,59,0.00489859003574,8.60829251333,10.38375,15.7333333333,True
accumulation,35,39,60,0.00419154437259,8.60829251333,10.38375,16,True
accumulation,35,39,61,0.00262110726908,8.60829251333,10.38375,16.2666666667,True
accumulation,35,40,57,0.0024010038469,8.60829251333,10.65,15.2,True
accumulation,35,40,58,0.00333877513185,8.60829251333,10.65,15.4666666667,True
accumulation,35,40,59,0.00341363297775,8.60829251333,10.65,15.7333333333,True
accumulation,35,40,60,0.00294202682562,8.60829251333,10.65,16,True
accumulation,36,38,58,0.00216821487993,8.854243728,10.1175,15.4666666667,True
accumulation,36,38,59,0.00225305720232,8.854243728,10.1175,15.7333333333,True
accumulation,38,43,60,0.00202911300585,9.34614615733,11.44875,16,True
accumulation,38,44,58,0.00200173794292,9.34614615733,11.715,15.4666666667,True
accumulation,38,44,59,0.00264756707475,9.34614615733,11.715,15.7333333333,True
accumulation,38,44,60,0.00259706471115,9.34614615733,11.715,16,True
accumulation,39,42,58,0.00262700603344,9.592097372,11.1825,15.4666666667,True
accumulation,39,42,59,0.00264750956558,9.592097372,11.1825,15.7333333333,True
accumulation,39,42,60,0.00305796391331,9.592097372,11.1825,16,True
accumulation,39,42,61,0.00312485755421,9.592097372,11.1825,16.2666666667,True
accumulation,39,43,57,0.00225264602341,9.592097372,11.44875,15.2,True
accumulation,39,43,58,0.00379270408303,9.592097372,11.44875,15.4666666667,True
accumulation,39,43,59,0.0045726862736,9.592097372,11.44875,15.7333333333,True
accumulation,39,43,60,0.0047371503897,9.592097372,11.44875,16,True
accumulation,39,43,61,0.00384968635626,9.592097372,11.44875,16.2666666667,True
accumulation,39,43,62,0.00206611165777,9.592097372,11.44875,16.5333333333,True
accumulation,39,44,58,0.00314902211539,9.592097372,11.715,15.4666666667,True
accumulation,39,44,59,0.00405520107597,9.592097372,11.715,15.7333333333,True
accumulation,39,44,60,0.00395489390939,9.592097372,11.715,16,True
accumulation,39,44,61,0.00286303297617,9.592097372,11.715,16.2666666667,True
accumulation,39,45,59,0.00205382797867,9.592097372,11.98125,15.7333333333,True
accumulation,40,41,58,0.00285346782766,9.83804858667,10.91625,15.4666666667,True
accumulation,40,41,59,0.00355491135269,9.83804858667,10.91625,15.7333333333,True
accumulation,40,41,60,0.00361065240577,9.83804858667,10.91625,16,True
accumulation,40,41,61,0.00278105004691,9.83804858667,10.91625,16.2666666667,True
accumulation,40,42,57,0.0026763768401,9.83804858667,11.1825,15.2,True
accumulation,40,42,58,0.00442088628188,9.83804858667,11.1825,15.4666666667,True
accumulation,40,42,59,0.00543203623965,9.83804858667,11.1825,15.7333333333,True
accumulation,40,42,60,0.00547935860232,9.83804858667,11.1825,16,True
accumulation,40,42,61,0.00426921481267,9.83804858667,11.1825,16.2666666667,True
accumulation,40,42,62,0.00233240867965,9.83804858667,11.1825,16.5333333333,True
accumulation,40,43,57,0.002594813006,9.83804858667,11.44875,15.2,True
accumulation,40,43,58,0.0043393955566,9.83804858667,11.44875,15.4666666667,True
accumulation,40,43,59,0.00552698643878,9.83804858667,11.44875,15.7333333333,True
accumulation,40,43,60,0.00543287489563,9.83804858667,11.44875,16,True
accumulation,40,43,61,0.00401511462405,9.83804858667,11.44875,16.2666666667,True
accumulation,40,43,62,0.00221018237062,9.83804858667,11.44875,16.5333333333,True
accumulation,40,44,58,0.00265539507382,9.83804858667,11.715,15.4666666667,True
accumulation,40,44,59,0.00339283701032,9.83804858667,11.715,15.7333333333,True
accumulation,40,44,60,0.00328314327635,9.83804858667,11.715,16,True
accumulation,40,44,61,0.00239553209394,9.83804858667,11.715,16.2666666667,True
accumulation,41,41,58,0.00286060175858,10.0839998013,10.91625,15.4666666667,True
accumulation,41,41,59,0.00361445499584,10.0839998013,10.91625,15.7333333333,True
accumulation,41,41,60,0.00347578711808,10.0839998013,10.91625,16,True
accumulation,41,41,61,0.00251784059219,10.0839998013,10.91625,16.2666666667,True
accumulation,41,42,57,0.00217962311581,10.0839998013,11.1825,15.2,True
accumulation,41,42,58,0.00351343862712,10.0839998013,11.1825,15.4666666667,True
accumulation,41,42,59,0.00446469616145,10.0839998013,11.1825,15.7333333333,True
accumulation,41,42,60,0.00430961837992,10.0839998013,11.1825,16,True
accumulation,41,42,61,0.00313616567291,10.0839998013,11.1825,16.2666666667,True
accumulation,41,43,58,0.00271011469886,10.0839998013,11.44875,15.4666666667,True
accumulation,41,43,59,0.00344523228705,10.0839998013,11.44875,15.7333333333,True
accumulation,41,43,60,0.00333134504035,10.0839998013,11.44875,16,True
accumulation,41,43,61,0.00244401721284,10.0839998013,11.44875,16.2666666667,True
accumulation,42,41,59,0.00202370830812,10.329951016,10.91625,15.7333333333,True
accumulation,42,42,59,0.00203906116076,10.329951016,11.1825,15.7333333333,True
accumulation,44,46,58,0.00289443996735,10.8218534453,12.2475,15.4666666667,True
accumulation,44,46,59,0.00339284818619,10.8218534453,12.2475,15.7333333333,True
accumulation,44,46,60,0.00297469296493,10.8218534453,12.2475,16,True
accumulation,44,47,58,0.00263246684335,10.8218534453,12.51375,15.4666666667,True
accumulation,44,47,59,0.00332073448226,10.8218534453,12.51375,15.7333333333,True
accumulation,44,47,60,0.00350161804818,10.8218534453,12.51375,16,True
accumulation,44,47,61,0.00251613161527,10.8218534453,12.51375,16.2666666667,True
accumulation,45,45,58,0.00272804661654,11.06780466,11.98125,15.4666666667,True
accumulation,45,45,59,0.00300605664961,11.06780466,11.98125,15.7333333333,True
accumulation,45,45,60,0.00252087181434,11.06780466,11.98125,16,True
accumulation,45,46,57,0.00299962749705,11.06780466,12.2475,15.2,True
accumulation,45,46,58,0.00444777635857,11.06780466,12.2475,15.4666666667,True
accumulation,45,46,59,0.00519541278481,11.06780466,12.2475,15.7333333333,True
accumulation,45,46,60,0.00472284480929,11.06780466,12.2475,16,True
accumulation,45,46,61,0.00313198682852,11.06780466,12.2475,16.2666666667,True
accumulation,45,47,57,0.00217277789488,11.06780466,12.51375,15.2,True
accumulation,45,47,58,0.00286360899918,11.06780466,12.51375,15.4666666667,True
accumulation,45,47,59,0.00352057232521,11.06780466,12.51375,15.7333333333,True
accumulation,45,47,60,0.00431581493467,11.06780466,12.51375,16,True
accumulation,45,47,61,0.00349279213697,11.06780466,12.51375,16.2666666667,True
accumulation,45,53,57,0.00210978137329,11.06780466,14.11125,15.2,True
accumulation,45,53,58,0.00211043120362,11.06780466,14.11125,15.4666666667,True
accumulation,46,45,57,0.00235959910788,11.3137558747,11.98125,15.2,True
accumulation,46,45,58,0.00330903218128,11.3137558747,11.98125,15.4666666667,True
accumulation,46,45,59,0.00366238248535,11.3137558747,11.98125,15.7333333333,True
accumulation,46,45,60,0.00311692222022,11.3137558747,11.98125,16,True
accumulation,46,45,61,0.00207415991463,11.3137558747,11.98125,16.2666666667,True
accumulation,46,46,57,0.00321717257611,11.3137558747,12.2475,15.2,True
accumulation,46,46,58,0.00473669031635,11.3137558747,12.2475,15.4666666667,True
accumulation,46,46,59,0.00552788423374,11.3137558747,12.2475,15.7333333333,True
accumulation,46,46,60,0.00506691541523,11.3137558747,12.2475,16,True
accumulation,46,46,61,0.00341171235777,11.3137558747,12.2475,16.2666666667,True
accumulation,46,47,57,0.00205050967634,11.3137558747,12.51375,15.2,True
accumulation,46,47,58,0.00272851344198,11.3137558747,12.51375,15.4666666667,True
accumulation,46,47,59,0.00335611938499,11.3137558747,12.51375,15.7333333333,True
accumulation,46,47,60,0.00415990548208,11.3137558747,12.51375,16,True
accumulation,46,47,61,0.00339049263857,11.3137558747,12.51375,16.2666666667,True
accumulation,46,52,57,0.00224796123803,11.3137558747,13.845,15.2,True
accumulation,46,52,58,0.00222089118324,11.3137558747,13.845,15.4666666667,True
accumulation,46,53,57,0.00238515296951,11.3137558747,14.11125,15.2,True
accumulation,46,53,58,0.00249774008989,11.3137558747,14.11125,15.4666666667,True
accumulation,46,53,59,0.0020089528989,11.3137558747,14.11125,15.7333333333,True
accumulation,47,45,57,0.00206180429086,11.5597070893,11.98125,15.2,True
accumulation,47,45,58,0.00283397384919,11.5597070893,11.98125,15.4666666667,True
accumulation,47,45,59,0.00312554440461,11.5597070893,11.98125,15.7333333333,True
accumulation,47,45,60,0.00269094388932,11.5597070893,11.98125,16,True
accumulation,47,46,57,0.00249042059295,11.5597070893,12.2475,15.2,True
accumulation,47,46,58,0.00372964260168,11.5597070893,12.2475,15.4666666667,True
accumulation,47,46,59,0.00437407661229,11.5597070893,12.2475,15.7333333333,True
accumulation,47,46,60,0.00393294543028,11.5597070893,12.2475,16,True
accumulation,47,46,61,0.00265160226263,11.5597070893,12.2475,16.2666666667,True
accumulation,47,47,58,0.00227947789244,11.5597070893,12.51375,15.4666666667,True
accumulation,47,47,59,0.00293332897127,11.5597070893,12.51375,15.7333333333,True
accumulation,47,47,60,0.00314994389191,11.5597070893,12.51375,16,True
accumulation,47,47,61,0.00230038375594,11.5597070893,12.51375,16.2666666667,True
accumulation,47,52,57,0.00254669808783,11.5597070893,13.845,15.2,True
accumulation,47,52,58,0.00270354165696,11.5597070893,13.845,15.4666666667,True
accumulation,47,52,59,0.00204463605769,11.5597070893,13.845,15.7333333333,True
accumulation,47,53,57,0.00241686333902,11.5597070893,14.11125,15.2,True
accumulation,47,53,58,0.00262338202447,11.5597070893,14.11125,15.4666666667,True
